Year,Vehicle,Colour,Engine,Cylinders,Category,Price,Type,Status,Age
2021,Hyundai Sonata 1.6T Luxury,Silver,Engine: 1.6L Turbo GDI DOHC 16-Valve I4 CVVD,4,Sedan,38296,New,Demo,336
2021,Hyundai Santa Fe Ultimate Calligraphy AWD,White,Engine: 2.5L Turbo GDI 16-Valve I4 -inc: idle start-stop,4,SUV,49546,New,Demo,308
2021,Hyundai Santa Fe Preferred AWD,White,Engine: 2.5L GDI MPI DOHC 16-Valve I4 -inc: idle start-stop,4,SUV,38446,New,Demo,300
2021,Hyundai Elantra Preferred IVT,White,Engine: 2.0L MPI DOHC I4,4,Sedan,25246,New,Demo,256
2021,Hyundai Santa Fe Ultimate Calligraphy AWD,Silver,Engine: 2.5L Turbo GDI 16-Valve I4 -inc: idle start-stop,4,SUV,49746,New,Demo,244
2021,Hyundai Santa Fe Preferred AWD,Silver,Engine: 2.5L GDI MPI DOHC 16-Valve I4 -inc: idle start-stop,4,SUV,38646,New,Demo,239
2016,Hyundai Tucson FWD 4dr 2.0L,Blue,Engine: 2.0L GDI I4 16V DOHC,4,SUV,19647,Used,Stock,217
2011,Hyundai Santa Fe AWD 4dr V6 Auto GL,Blue,3.5L DOHC CVVT V6 engine,6,SUV,31647,Used,Stock,232
2022,Hyundai Sonata 2.5L Preferred,Silver,Engine: 2.5L GDI MPI DOHC 16-Valve I4 CVVT,4,Sedan,29596,New,Demo,132
2022,Hyundai Santa Fe Urban AWD,White,Engine: 2.5L Turbo GDI MPI DOHC 16-Valve I4 -inc: idle stop and go,4,SUV,42344,New,Demo,120
2022,Hyundai Santa Fe Urban AWD,White,Engine: 2.5L Turbo GDI MPI DOHC 16-Valve I4 -inc: idle stop and go,4,SUV,42346,New,Stock,120
2022,Hyundai Santa Fe Urban AWD,White,Engine: 2.5L Turbo GDI MPI DOHC 16-Valve I4 -inc: idle stop and go,4,SUV,42346,New,Demo,120
2022,Hyundai Santa Fe Urban AWD,White,Engine: 2.5L Turbo GDI MPI DOHC 16-Valve I4 -inc: idle stop and go,4,SUV,42346,New,Stock,118
2022,Hyundai Venue Preferred IVT,Black,Engine: 1.6L DPI DOHC 16-Valve I4 CVVT,4,SUV,23746,New,Demo,78
2020,Hyundai Palisade Essential 8-Passenger AWD,Gray,Engine: 3.8L GDI D-CVVT 24-Valve V6,6,SUV,54647,Used,Stock,45
2022,Hyundai Venue Ultimate IVT w/Denim Interior,Orange,Engine: 1.6L DPI DOHC 16-Valve I4 CVVT,4,SUV,27146,New,Stock,29
2022,Hyundai Venue Ultimate IVT w/Denim Interior,Blue,Engine: 1.6L DPI DOHC 16-Valve I4 CVVT,4,SUV,27146,New,Stock,29
2022,Hyundai Sonata 2.5T N Line,Gray,Engine: 2.5L Turbo GDI MPI DOHC 16-Valve I4 CVVT,4,Sedan,40746,New,Stock,27
2022,Hyundai Sonata 2.5L Preferred,Blue,Engine: 2.5L GDI MPI DOHC 16-Valve I4 CVVT,4,Sedan,29646,New,Stock,27
2022,Hyundai Sonata 2.5T N Line,White,Engine: 2.5L Turbo GDI MPI DOHC 16-Valve I4 CVVT,4,Sedan,40546,New,Stock,26
